,Name,Address,Ratings,Website,Telephone,YearsInBusiness
21,Patten Real Estate,"202 W Pembroke AveDallas, TX 75208",,http://www.pattenrealty.com,(214) 421-5300,22YEARSIN BUSINESS
22,Joy Nees Realtor,"5711 Still Forest DrDallas, TX 75252",,http://www.elite20realtors.com,(972) 931-8090,21YEARSIN BUSINESS
23,Perry Guest Company,"2517 Thomas AveDallas, TX 75201",(14),http://perryguestco.com,(214) 528-9250,38YEARSIN BUSINESS
24,"REAL DEAL LISTINGS, LLC","12830 Hillcrest Rd Suite 111Dallas, TX 75230",(2),,(972) 375-0750,
25,Brenda Kronenberg | Keller Williams Urban Dallas,"3131 Turtle Creek Blvd Ste 222Dallas, TX 75219",(1),https://www.kw.com/kw/agent/bkronenberg,(214) 906-9649,14YEARSIN BUSINESS
26,Seguro Financial Services,"1341 W Mockingbird LnDallas, TX 75247",(1),http://www.caddorealestateservices.com,(281) 764-8477,
27,Armani-Homes at Keller Williams,"12700 Preston RdDallas, TX 75230",(1),,(940) 902-2433,
28,Dallas Housing Authority,"2575 Lone Star DrDallas, TX 75212",(1),http://dallashousing.org,(800) 735-2989,84YEARSIN BUSINESS
29,Lone Star Gas Lofts,"300 S Saint Paul StDallas, TX 75201",(1),http://lsglofts.com,(469) 227-9014,
30,HomeLight Real Estate,,,,,
31,Sold.com,,,,,
32,1-800 Cash Offer - We Buy Houses,,(1),,,
33,A & A Real Estate Services,,,,,
34,Azteca Enterprise Inc,"501 Elm StDallas, TX 75202",(1),,(469) 802-6634,12YEARSIN BUSINESS
35,Bryan Song Apartments,"4645 Bryan StDallas, TX 75204",(1),,(214) 824-1184,38YEARSIN BUSINESS
36,Kanawha Properties LTD,"4207 Bowser AveDallas, TX 75219",(1),,(214) 521-0140,
37,Commercial Realty Partners,"4713 W Lovers LnDallas, TX 75209",(1),,(214) 352-0400,
38,Loansource Real Estate,"4851 Lyndon B Johnson FwyDallas, TX 75244",(1),,(972) 479-9595,
39,DFW Urban Realty,"3131 Mckinney Ave Ste 600Dallas, TX 75204",,http://www.dfwurbanrealty.com,(214) 764-4124,19YEARSIN BUSINESS
40,United Real Estate,"5430 Lyndon B Johnson Fwy Ste 280Dallas, TX 75240",,http://www.unitedrealestate.com,(888) 961-6161,
41,JPAR - Addison,"14800 Quorum Dr Ste 110Dallas, TX 75254",,http://www.jpar.com,(800) 683-5651,11YEARSIN BUSINESS
42,Wolff Real Estate Group,"18333 Preston Rd Ste 100Dallas, TX 75252",,http://buynsellwithgabrielle.com,(214) 659-1890,8YEARSIN BUSINESS
43,Colliers,"717 N Harwood StDallas, TX 75201",,,(972) 759-7800,
44,Hunt Realty Investments Inc,"1900 N Akard StDallas, TX 75201",,http://www.huntrealty.com,(214) 880-0093,36YEARSIN BUSINESS
45,Lantower Residential,"2218 Bryan St Ste 400Dallas, TX 75201",,https://www.lantower.com/?utm_source=extnet&utm_medium=Yext,(214) 421-4400,7YEARSIN BUSINESS
46,Knox & Associates Real Estate Brokers,"900 Jackson St Ste 650Dallas, TX 75202",,http://www.knoxre.com,(972) 342-0000,12YEARSIN BUSINESS
47,Whitebox Real Estate,"400 S Record StDallas, TX 75202",,http://whiteboxrealestate.com,(214) 380-4540,6YEARSIN BUSINESS
48,Trammell Crow Company,"2100 Mckinney Ave Ste 900Dallas, TX 75201",,http://www.trammellcrow.com,(214) 863-3000,77YEARSIN BUSINESS
49,Spring 11,"100 Crescent Ct Ste 1300Dallas, TX 75201",,http://www.ngkf.com/?y_source=1_OTEzNzQ0OC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(212) 372-2000,93YEARSIN BUSINESS
50,Dave Perry,"2828 Routh St Ste 100Dallas, TX 75201",,http://www.daveperrymiller.com/offices/dave-in-town,(214) 522-3838,
51,"Carrie Hill, REALTOR","2828 Routh St #100Dallas, TX 75201",,http://www.carrie-hill.com,(214) 298-4038,
52,South Side on Lamar,"1409 Botham Jean BlvdDallas, TX 75215",,https://www.southsideonlamar.com/home?utm_source=extnet&utm_medium=Yext,(214) 453-2480,22YEARSIN BUSINESS
53,David Griffin & Co Realtors,"2626 Cole AveDallas, TX 75204",,http://www.davidgriffin.com,(214) 526-5626,40YEARSIN BUSINESS
54,"Rebecca Hunt, Realtor","3106 Commerce StDallas, TX 75226",,http://www.txhomehunt.com,(214) 281-9641,
55,"Gary Foster, Realtor","3500 Maple Ave Ste 440Dallas, TX 75219",,https://www.buyorselldallashomes.com,(214) 763-5294,
56,Leasing Coach Training,"2728 Hood St Apt 801Dallas, TX 75219",,,(214) 897-3949,
57,Dwellinc Apartment Locating & Realty,"3333 Lee PkwyDallas, TX 75219",,https://dwell-inc.com,(214) 428-6808,
58,Eakin Group,"4311 Belmont Ave # 130Dallas, TX 75204",,https://eakingroup.com,(214) 801-3495,
59,Broker Breakup,"3824 Cedar Springs Rd Unit 801-7224Dallas, TX 75219",,http://www.brokerbreakup.com,(972) 591-3988,7YEARSIN BUSINESS
60,Dustin Pitts - Dallas Real Estate Agent LLC,"4131 N Central Expy, Suite 964 DallasDallas, TX 75204",,https://search.dustinpitts.com,(214) 771-9030,
61,Dallas Luxury Realty,"4144 N Central Expy Ste 1210ADallas, TX 75204",,http://www.dallasluxuryrealty.com,(214) 754-7040,
62,Nove at Knox,"3031 Oliver StDallas, TX 75205",,http://noveatknox.com,(469) 806-1200,2YEARSIN BUSINESS
63,Eakin Group,"1910 Hope St Unit 12Dallas, TX 75206",,http://eakingroup.com,(214) 801-3495,
64,Nove at Knox,"3031 Oliver StDallas, TX 75205",,http://noveatknox.com,(469) 806-1200,2YEARSIN BUSINESS
65,Eakin Group,"1910 Hope St Unit 12Dallas, TX 75206",,http://eakingroup.com,(214) 801-3495,
66,Rogers Healy and Associates Real Estate,"3001 Knox Street #210Dallas, TX 75205",,https://rogershealy.com,(214) 368-4663,15YEARSIN BUSINESS
67,Travis Hitt Realtor,"3001 Knox St Ste 210Dallas, TX 75205",,https://travishitt.rhadfw.com,(469) 525-0175,
68,Dallas Homes Marketplace,"3100 Monticello Ave Ste 200Dallas, TX 75205",,http://www.dallashomesmarketplace.com,(972) 210-1009,7YEARSIN BUSINESS
69,Zacc Mitchell | Modern Living Group at Compass,"6220 Gaston Ave # 100Dallas, TX 75214",,http://www.modernlivingdallas.com,(214) 790-6203,
70,Century Medical District,"6162 Maple AveDallas, TX 75235",,https://www.centurymedicaldistrict.com,(972) 449-5971,9YEARSIN BUSINESS
71,Anne Lacey Holmes,"5500 Preston Rd Ste 290Dallas, TX 75205",,http://www.daveperrymiller.com/agents_offices/find_agent,(214) 504-8003,
72,Ford Gibbs - Dallas Online Realty,"4345 San Carlos StDallas, TX 75205",,http://sellmyhometoday.com,(214) 213-7936,26YEARSIN BUSINESS
73,The Farris Group,"501 W. President Bush Hwy. #125Dallas, TX 75214",,http://www.thefarrisgroupkw.com,(469) 569-2968,19YEARSIN BUSINESS
74,Arrive on University,"5750 E University BlvdDallas, TX 75206",,,(866) 969-9727,5YEARSIN BUSINESS
75,Robert Wood & Associates,"6688 N Central Expy Ste 1000Dallas, TX 75206",,,(214) 369-3209,
76,Harrison Polsky Realty,"5600 W Lovers Ln Ste 224Dallas, TX 75209",,http://polskydurhamrealestate.com,(214) 663-0162,
77,"Armstrong Realty, LLC","6613 E Mockingbird LnDallas, TX 75214",,http://www.armstrongrealty.net,(214) 683-5655,8YEARSIN BUSINESS
78,Josh Armstrong,"6613 E Mockingbird LnDallas, TX 75214",,http://www.armstrongrealty.net,(214) 683-5655,11YEARSIN BUSINESS
79,Pace Realty Corporation,"8111 Preston RdDallas, TX 75225",,https://www.pacerealty.com,(214) 692-3600,
80,Hawkins Dave Homes,"3228 S Beckley AveDallas, TX 75224",,,(214) 371-9400,59YEARSIN BUSINESS
81,Mac Farlan Real Estate Service,"8343 Douglas AveDallas, TX 75225",,http://www.macfarlan.com,(214) 932-3100,30YEARSIN BUSINESS
82,Lavie Family Properties,"8401 N Central Expy Ste 550Dallas, TX 75225",,http://www.maxlavie.nameyoursellingprice.com,(214) 402-1577,
83,Coldwell Banker Karen Goodson,"6230 Bandera AveDallas, TX 75225",,,(214) 540-4568,
84,We Buy Ugly Houses® / HomeVestors®,"6500 Greenville Ave Ste 400Dallas, TX 75206",,https://www.webuyuglyhouses.com?y_source=1_mtq4mtmzmtytntuzlwxvy2f0aw9ulndlynnpdgu%3d,(972) 761-0046,
85,Construction Planning Services Inc,"3130 Webb Chapel ExtDallas, TX 75220",,http://uhaul.com,(214) 350-1665,16YEARSIN BUSINESS
86,Northeast Texas Realty,"8701 Astoria DrDallas, TX 75227",,http://www.northeasttexasrealty.com,(214) 475-7067,
87,The Douglas,"7825 Firefall WayDallas, TX 75230",,https://www.prestonhollowvillageapartments.com/the-douglas-dallas-tx,(972) 464-2975,
88,The Fountains on Regal Park,"10004 Regal Park LnDallas, TX 75230",,https://www.fountainsapt.com,(214) 760-6096,
89,Roland Munguia Realty C/O The Michael Group,"10300 N Central Expy Ste 220Dallas, TX 75231",,http://www.themichaelgroup.com,(214) 692-6400,19YEARSIN BUSINESS
90,Domain at Midtown Park Apartments,"8169 Midtown BlvdDallas, TX 75231",,https://www.domainatmidtownpark.com,(469) 423-8884,
91,Star Five Realtors,"5787 S Hampton Rd Ste 470Dallas, TX 75232",,http://www.star5realestate.com,(214) 333-9473,25YEARSIN BUSINESS
92,Century 21,"5801 Marvin D Love Fwy Ste 103Dallas, TX 75237",,http://www.century21.com,(214) 376-7000,63YEARSIN BUSINESS
93,Century 21,"1221 Bar Harbor DrDallas, TX 75232",,http://www.century21.com,(214) 707-1499,
94,Dallas Real Estate Agent,"8626 Charing Cross LnDallas, TX 75238",,http://www.mydallasrealestateagent.com,(214) 731-4979,
95,Virginia Cook Realtors,"6060 Forest LnDallas, TX 75230",,http://www.virginiacook.com,(214) 750-7373,23YEARSIN BUSINESS
96,residential development,"10945 Estate Ln # 100-aDallas, TX 75238",,,(903) 790-9431,
97,Re/Max Of Dallas,"9090 Skillman StDallas, TX 75243",,,(972) 390-9900,
98,Rader Properties,"12342 Inwood RdDallas, TX 75244",,http://raderproperties.com,(972) 392-7500,41YEARSIN BUSINESS
99,Infinity On The Mark,"9010 Markville DrDallas, TX 75243",,https://www.infinityonthemark.com/?y_source=1_MjU2MzQ2MzctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,(972) 945-1812,
100,First Avenue Realty,"12700 Park Central Dr Ste 610Dallas, TX 75251",,,(214) 522-3221,
101,Omnis Real Estate,"9330 Lyndon B Johnson Fwy Ste 900Dallas, TX 75243",,https://www.cashforvacantlots.com,(214) 888-8661,
102,Camden Homes,"12801 N Central Expy Ste 1650Dallas, TX 75243",,https://camden-homes.com,(214) 972-3870,
103,Mi Casita Linda,"12801 N Central Expy Ste 1650Dallas, TX 75243",,https://camden-homes.com,(214) 972-3870,
104,Infinity on the Point,"8997 Vantage Point DrDallas, TX 75243",,https://www.infinityonthepoint.com/?y_source=1_Mzg4MDY2ODYtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,(469) 809-5018,
105,RTS Real Estate,"6370 Lyndon B Johnson Fwy Ste 170Dallas, TX 75240",,http://www.rtsrealestate.com,(972) 698-7900,21YEARSIN BUSINESS
106,Martin Real Estate Advisors,"5430 LBJ Fwy, Ste 280Dallas, TX 75240",,http://www.martinrealestateadvisors.com,(469) 262-5411,
107,Candor Realty,"2727 Lyndon B Johnson FwyDallas, TX 75234",,http://www.candorrealestate.com/offline,(214) 435-2198,
108,The Ridge on Spring Valley Apartments,"5704 Spring Valley RdDallas, TX 75254",,https://bhmanagement.com/communities/the-ridge-on-spring-valley-dallas-tx/?utm_source=GMB&utm_medium=organic,(972) 472-4926,21YEARSIN BUSINESS
109,Newmark,"14185 Dallas Pkwy Ste 880Dallas, TX 75254",,http://www.ngkf.com/?y_source=1_OTEzNzQ0OS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(214) 613-4835,93YEARSIN BUSINESS
110,Newmark,"14114 Dallas Pkwy Ste 520Dallas, TX 75254",,http://www.ngkf.com/?y_source=1_OTEzNzQ0Ny01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(972) 934-3400,93YEARSIN BUSINESS
111,American Realty Investors Inc,"1603 Lyndon B Johnson FwyDallas, TX 75234",,http://www.americanrealty-invest.com,(469) 522-4200,61YEARSIN BUSINESS
112,"Income Opportunity Realty Investors, Inc","1603 Lyndon B Johnson FwyDallas, TX 75234",,http://www.incomeopp-realty.com,(469) 522-4200,7YEARSIN BUSINESS
113,"Transcontinental Realty Investors, Inc","1603 Lyndon B Johnson FwyDallas, TX 75234",,http://www.transconrealty-invest.com,(469) 522-4200,38YEARSIN BUSINESS
114,Terratino Inc.,"4100 Spring Valley Rd Ste 925Dallas, TX 75244",,https://www.terratino.com,(214) 238-9040,8YEARSIN BUSINESS
115,The Lana,"14332 Montfort DrDallas, TX 75254",,,(469) 949-1872,
116,Verlaine on the Parkway,"5151 Verde Valley LnDallas, TX 75254",,https://www.verlaineontheparkway.com,(833) 754-1673,
117,Elite Realty Alliance,"14800 Landmark Blvd Ste 175Dallas, TX 75254",,https://eliterealtyalliance.com,(469) 454-3127,
118,We Buy Houses DFW Cash,"5850 Belt Line Rd #2320Dallas, TX 75254",,https://www.webuyhousesdfwcash.com,(972) 505-3203,
119,Ebby Halliday Real Estate,"16000 Preston Rd Ste 100Dallas, TX 75248",,http://www.alanlevygroup.com,(972) 387-0300,7YEARSIN BUSINESS
120,Ebby Halliday Inc,"7517 Campbell RdDallas, TX 75248",,http://www.ebby.com,(972) 248-8800,77YEARSIN BUSINESS
121,Century 21,"17130 Dallas PkwyDallas, TX 75248",,http://www.century21.com,(972) 267-2330,
122,Exit Advantage Realty,"17304 Preston Rd Ste 1050Dallas, TX 75252",,,(214) 866-0466,
123,Mesquite Ridge,"14222 Lasater RdDallas, TX 75253",,http://www.yescommunities.com,(972) 222-2624,24YEARSIN BUSINESS
124,Shady Creek,"15250 Kleberg RdDallas, TX 75253",,,(972) 287-4157,65YEARSIN BUSINESS
125,Roy Dawson Homes,"17732 Preston Rd Ste 100Dallas, TX 75252",,https://www.roydawsonhomes.com,(972) 661-1498,
126,Winans Inc,"17734 Preston Rd Ste 100Dallas, TX 75252",,http://www.bhgre.com,(972) 774-9091,
127,RE/MAX Premier,"18111 Preston RdDallas, TX 75252",,http://donnamagro.com,(972) 991-1616,
128,Halston on Frankford,"3702 Frankford RdDallas, TX 75287",,https://halstonfrankford.com,(945) 910-3400,24YEARSIN BUSINESS
129,Crystal Levan - Luxury Home Team - Keller Williams,"18383 Preston Rd Ste 150Dallas, TX 75252",,http://luxurypropertiesofdfw.com,(214) 415-4953,
130,Olympic 1401 Elm Associates,"1505 Federal St Ste 150Dallas, TX 75201",,,(214) 720-1401,
131,Fidelity Information Services,"1601 Bryan StDallas, TX 75201",,,(214) 981-9419,
132,Worth Ross & Associates,"1505 Elm StDallas, TX 75201",,,(214) 754-0004,12YEARSIN BUSINESS
133,1515 Elm St,"1515 Elm StDallas, TX 75201",,http://www.highrises.com/dallas/1505-elm,(214) 468-8815,
134,Sixteen Hundred Pacific Landlord,"1555 Elm StDallas, TX 75201",,,(214) 303-1104,
135,Infinite Realty Inc,"400 N Saint Paul St Ste 1025Dallas, TX 75201",,,(972) 755-4572,
136,Giese Jeffrey W,"1445 Ross AveDallas, TX 75202",,,(214) 468-3328,15YEARSIN BUSINESS
137,Dallas Logistics Hub,"1700 Pacific AveDallas, TX 75201",,,(214) 661-1800,
138,Prg Realty Investors,"1700 Pacific Ave Ste 3620Dallas, TX 75201",,http://www.prgdallas.com,(214) 692-0300,
139,Wellington Realty,"1700 Pacific AveDallas, TX 75201",,https://www.wellingtonrealty.com,(214) 420-0092,
140,N S P,"750 N Saint Paul StDallas, TX 75201",,,(214) 740-0090,
141,Post Properties Inc,"1623 Main StDallas, TX 75201",,https://www.maac.com,(866) 620-1130,
142,Condominium Realty Corp,"1412 Main StDallas, TX 75202",,,(214) 742-5301,32YEARSIN BUSINESS
143,TPMC Realty Corp,"1412 Main StDallas, TX 75202",,http://tpmcrealty.com,(214) 741-7744,26YEARSIN BUSINESS
144,Headington Realty,"1309 Main StDallas, TX 75202",,,(214) 749-0277,
145,Spire Realty Group,"2001 Bryan StDallas, TX 75201",,http://www.spirerealty.com,(214) 740-2300,25YEARSIN BUSINESS
146,48Er Properties Incorporated,"1910 Pacific AveDallas, TX 75201",,,(214) 382-3210,
147,Aristotle International Realty Company,"1910 Pacific AveDallas, TX 75201",,,(800) 646-7604,
148,Epik Realty,"1910 Pacific Ave Ste 5090Dallas, TX 75201",,,(214) 242-8086,
149,King Realty,"1001 Ross Ave Ste 114Dallas, TX 75202",,,(214) 352-5464,
150,Premier Metropolitian Properties,"1700 Commerce StDallas, TX 75201",,http://www.premetro.net,(214) 742-5900,13YEARSIN BUSINESS
151,Real Deal Group,"1700 Commerce StDallas, TX 75201",,,(214) 760-9816,
152,Lig Assets Inc,"1700 Commerce St Ste 1000Dallas, TX 75201",,http://www.ligassetsinc.net,(214) 760-1000,
153,Jogip Property Company,"1700 Commerce St Ste 440Dallas, TX 75201",,,(214) 742-7368,
154,Trust Built Properties,"1700 Commerce St Ste 1751Dallas, TX 75201",,,(469) 571-4399,
155,Horn-Barlow Companies,"1226 Commerce StDallas, TX 75202",,,(214) 748-1119,
156,Real Time Investing,"Po Box 5858Dallas, TX 75202",,,(214) 724-9272,18YEARSIN BUSINESS
157,Cushman & Wakefield Inc,"901 Main StDallas, TX 75202",,http://www.cushmanwakefield.com,(214) 761-3300,
158,Smith Philip S Real Estate Co,"1901 N Akard StDallas, TX 75201",,http://www.rutlanddickson.com,(214) 855-3737,33YEARSIN BUSINESS
159,Westmount Realty Capital,"700 N Pearl StDallas, TX 75201",,http://westmountrc.com,(214) 944-5454,38YEARSIN BUSINESS
160,Hudson Advisors,"600 N Pearl StDallas, TX 75201",,http://hudson-advisors.com,(214) 754-8400,
161,Reloton Real Estate Partners,"600 N Pearl StDallas, TX 75201",,,(214) 242-0072,
162,Westmount Realty Capital,"1122 Jackson St Apt 616Dallas, TX 75202",,,(214) 944-5454,19YEARSIN BUSINESS
163,Summit Partners Management Co,"2200 Ross AveDallas, TX 75201",,https://www.summitpartners.com,(214) 220-4300,37YEARSIN BUSINESS
164,Fortis,"2200 Ross AveDallas, TX 75201",,,(469) 914-2254,
165,Sx2 Group,"2200 Ross AveDallas, TX 75201",,,(214) 520-6385,
166,Good Signature Properties,"2030 Main StDallas, TX 75201",,http://goodsignature.com,(214) 752-0205,23YEARSIN BUSINESS
167,Cfb 20 Inc,"2323 Bryan StDallas, TX 75201",,,(972) 616-0080,
168,Digital Realty Trust,"2323 Bryan StDallas, TX 75201",,http://www.digitalrealty.com,(214) 880-0097,
169,American Landmark Properties Corporation,"1717 Mckinney AveDallas, TX 75202",,,(214) 965-9500,10YEARSIN BUSINESS
170,Trinity Realty & Investment,"1717 Mckinney Ave Ste 700Dallas, TX 75202",,,(214) 545-4695,
171,Three L Realty Group,"2404 Ross AveDallas, TX 75201",,http://www.3lrealtygroup.com,(214) 922-9797,15YEARSIN BUSINESS
172,Crescent Real Estate Equities,"501 Elm StDallas, TX 75202",,https://crescent.com,(469) 680-1477,
173,Richardson Business Center,"100 N Central ExpyDallas, TX 75201",,,(972) 997-8210,
174,Cdk Realty Advisors LP,"2301 N Akard StDallas, TX 75201",,,(214) 253-2141,
175,Coeval Real Estate Group,"703 McKinney AveDallas, TX 75202",,http://www.coevalre.com,(214) 224-0067,12YEARSIN BUSINESS
176,Pza Inc,"703 Mckinney AveDallas, TX 75202",,,(972) 380-8911,
177,Joe Atkins Realty,"2201 Main St Ste 840Dallas, TX 75201",,http://www.joeatkinsrealty.com,(214) 749-5667,9YEARSIN BUSINESS
178,ASP Realty Inc.,"2201 Main St Ste 1200aDallas, TX 75201",,,(214) 741-2316,
179,Union Investement Real Estate,"2000 Mckinney AveDallas, TX 75201",,,(214) 303-1452,
180,Amber Oputa Real Estate Services,"1933 Cedar Springs RdDallas, TX 75201",,,(972) 755-9255,
181,JPAR - Dallas,"1933 Cedar Springs RdDallas, TX 75201",,,(800) 683-5651,
182,Karns Commercial Real Estate,"2414 N Akard StDallas, TX 75201",,http://arescre.com,(214) 826-5300,
183,T AG Realty Mgmt,"400 S Record StDallas, TX 75202",,,(214) 744-9790,29YEARSIN BUSINESS
184,"Christopher Elliott, REALTOR","2200 Victory Ave 2206 AptDallas, TX 75219",,,(855) 578-8664,
185,Hillwood,"2200 Victory AveDallas, TX 75219",,http://www.hillwoodcommunities.com,(214) 969-6893,
186,Med Properties,"2100 Mckinney Ave Ste 1450Dallas, TX 75201",,http://www.medpropertieslp.com,(214) 661-1008,15YEARSIN BUSINESS
187,Corrigan Properties Inc,"2100 Mckinney AveDallas, TX 75201",,http://cjcoakleyproperties.com,(214) 468-9240,73YEARSIN BUSINESS
188,Nathan Grace Real Estate,"2100 Mckinney AveDallas, TX 75201",,http://www.nathan-grace.com,(214) 765-0600,
189,Winchester Carlisle Real Estate,"2100 Mckinney AveDallas, TX 75201",,https://winchestercarlisle.com,(214) 303-0066,
190,Hines One Victory Park,"2323 Victory AveDallas, TX 75219",,http://www.hines.com,(214) 468-0808,
191,I & G Direct Real Estate 44,"2500 N Houston StDallas, TX 75219",,,(214) 855-1304,
192,Neal Richards Group,"3030 Nowitzki Way Ste 220Dallas, TX 75219",,http://nealrichardsgroup.com,(469) 484-7269,14YEARSIN BUSINESS
193,Easton Realty Partners,"2501 N Harwood StDallas, TX 75201",,http://eastonrealtypartners.com/contact,(469) 250-6432,9YEARSIN BUSINESS
194,Cushman & Wakefield of Texas Inc,"2101 Cedar Springs RdDallas, TX 75201",,http://www.jordanclarke.com,(972) 663-9600,
195,City Group Realtors,"777 S Cesar Chavez BlvdDallas, TX 75201",,,(972) 267-4402,
196,Cushman And Wakefield,"3030 Nowitzki WayDallas, TX 75219",,,(214) 953-0764,
197,Westdale Real Estate,"2550 Pacific AveDallas, TX 75226",,https://www.westdale.com,(214) 752-0084,
198,Woodmark Real Estate Service Inc,"2525 Mckinnon StDallas, TX 75201",,http://woodmarkre.com,(972) 980-1441,
199,Post Properties,"2121 Routh StDallas, TX 75201",,,(214) 855-0890,
200,Harwood Pacific of Calif Inc,"2651 N Harwood StDallas, TX 75201",,,(310) 550-0501,
201,Davis-Re Reality,"2517 Thomas AveDallas, TX 75201",,,(214) 979-0400,
202,Berkshire Interest Inc,"200 Crescent CtDallas, TX 75201",,,(214) 219-9400,16YEARSIN BUSINESS
203,Pollock Realty LP,"200 Crescent CtDallas, TX 75201",,,(214) 871-8155,
204,Rlj Inc,"200 Crescent Ct Ste 60Dallas, TX 75201",,,(214) 521-5112,
205,HCP Realty Advisors,"100 Crescent CtDallas, TX 75201",,,(214) 653-1515,
206,Front Street Properties,"100 Crescent CtDallas, TX 75201",,http://pioneerinnshops.com,(214) 880-4712,23YEARSIN BUSINESS
207,Rosewood Properties Inc,"100 Crescent Ct Ste 1700Dallas, TX 75201",,,(214) 871-8600,
208,Cdc Corp,"100 Crescent Ct Ste 480Dallas, TX 75201",,http://telequestinc.com,(214) 443-0900,31YEARSIN BUSINESS
209,The Concorde Group,"500 Crescent CtDallas, TX 75201",,http://concorde-us.com,(214) 871-6755,21YEARSIN BUSINESS
210,Post Properties,"2710 Guillot StDallas, TX 75204",,,(214) 468-8011,
211,Fort Worth Apartment Locators,"2610 State StDallas, TX 75204",,,(214) 457-8252,
212,Stream Realty,"2515 McKinney AveDallas, TX 75201",,http://www.chateauplaza.com,(214) 855-5120,
213,IP Navagation Group,"2515 Mckinney AveDallas, TX 75201",,http://www.ipnav.com,(214) 922-7500,15YEARSIN BUSINESS
214,Ubs Realty Investors,"2515 Mckinney Ave Ste 800Dallas, TX 75201",,http://ubs.com,(972) 458-3300,
215,Re/Max,"3030 Bryan StDallas, TX 75204",,http://www.remax.com,(214) 824-0987,
216,Cedar Maple Plaza,"2305 Cedar Springs RdDallas, TX 75201",,https://cedarmapleplaza.com,(469) 779-7657,23YEARSIN BUSINESS
217,First Resource Realty,"2311 Cedar Springs RdDallas, TX 75201",,,(214) 242-5444,9YEARSIN BUSINESS
218,Juno Development,"2828 N Harwood StDallas, TX 75201",,http://junodevelopment.com,(214) 397-0601,
219,Harwood International,"2828 N Harwood StDallas, TX 75201",,http://www.harwoodinternational.com,(214) 871-0871,
220,Southern Asset Services Corporation,"2610 Fairmount StDallas, TX 75201",,http://www.sascorealty.com,(214) 871-7313,30YEARSIN BUSINESS
221,Realty One Group Partners,"2715 Hibernia StDallas, TX 75204",,http://www.realtyonegroup.com,(214) 599-8008,9YEARSIN BUSINESS
222,Olympus Real Estate Partners,"2722 Fairmount StDallas, TX 75201",,,(214) 377-1740,
223,Lombardia Properties,"2633 Mckinney AveDallas, TX 75204",,http://www.lombardia-properties.com,(888) 777-7097,13YEARSIN BUSINESS
